"State_Acronym","year","SVRNCTAX","state","sales","year_effective","post_eff","rel_year"
"MA",1996,NA,"Massachusetts",50,2025,0,-29
"MA",1997,NA,"Massachusetts",50,2025,0,-28
"MA",1998,NA,"Massachusetts",50,2025,0,-27
"MA",1999,NA,"Massachusetts",50,2025,0,-26
"MA",2000,NA,"Massachusetts",50,2025,0,-25
"MA",2001,NA,"Massachusetts",50,2025,0,-24
"MA",2002,NA,"Massachusetts",50,2025,0,-23
"MA",2003,NA,"Massachusetts",50,2025,0,-22
"MA",2004,NA,"Massachusetts",50,2025,0,-21
"MA",2005,NA,"Massachusetts",50,2025,0,-20
"MA",2006,NA,"Massachusetts",50,2025,0,-19
"MA",2007,NA,"Massachusetts",50,2025,0,-18
"MA",2008,NA,"Massachusetts",50,2025,0,-17
"MA",2009,NA,"Massachusetts",50,2025,0,-16
"MA",2010,NA,"Massachusetts",50,2025,0,-15
"MA",2011,NA,"Massachusetts",50,2025,0,-14
"MA",2012,NA,"Massachusetts",50,2025,0,-13
"MA",2013,NA,"Massachusetts",50,2025,0,-12
"MA",2014,NA,"Massachusetts",50,2025,0,-11
"MA",2015,NA,"Massachusetts",50,2025,0,-10
"MA",2016,NA,"Massachusetts",50,2025,0,-9
"MA",2017,NA,"Massachusetts",50,2025,0,-8
"MA",2018,NA,"Massachusetts",50,2025,0,-7
"MA",2019,NA,"Massachusetts",50,2025,0,-6
"MA",2020,NA,"Massachusetts",50,2025,0,-5
"MA",2021,NA,"Massachusetts",50,2025,0,-4
"MA",2022,NA,"Massachusetts",50,2025,0,-3
"MI",1976,7065,"Michigan",33.34,1991,0,-15
"MI",1977,9574,"Michigan",33.34,1991,0,-14
"MI",1978,11718,"Michigan",33.34,1991,0,-13
"MI",1979,13724,"Michigan",33.34,1991,0,-12
"MI",1980,43525,"Michigan",33.34,1991,0,-11
"MI",1981,82857,"Michigan",33.34,1991,0,-10
"MI",1982,81603,"Michigan",33.34,1991,0,-9
"MI",1983,81371,"Michigan",33.34,1991,0,-8
"MI",1984,73313,"Michigan",33.34,1991,0,-7
"MI",1985,75729,"Michigan",33.34,1991,0,-6
"MI",1986,52821,"Michigan",33.34,1991,0,-5
"MI",1987,48344,"Michigan",33.34,1991,0,-4
"MI",1988,43581,"Michigan",33.34,1991,0,-3
"MI",1989,40541,"Michigan",33.34,1991,0,-2
"MI",1990,45570,"Michigan",33.34,1991,0,-1
"MI",1991,48895,"Michigan",40,1991,1,0
"MI",1992,41331,"Michigan",40,1991,1,1
"MI",1993,40069,"Michigan",50,1991,1,2
"MI",1994,33483,"Michigan",50,1991,1,3
"MI",1995,27198,"Michigan",50,1991,1,4
"MI",1996,36776,"Michigan",50,1991,1,5
"MI",1997,41154,"Michigan",80,1991,1,6
"MI",1998,30982,"Michigan",80,1991,1,7
"MI",1999,24214,"Michigan",90,1991,1,8
"MI",2000,45140,"Michigan",90,1991,1,9
"MI",2001,61804,"Michigan",90,1991,1,10
"MI",2002,31688,"Michigan",90,1991,1,11
"MI",2003,49118,"Michigan",90,1991,1,12
"MI",2004,58220,"Michigan",90,1991,1,13
"MI",2005,68055,"Michigan",90,1991,1,14
"MI",2006,90956,"Michigan",92.5,1991,1,15
"MI",2007,81874,"Michigan",92.5,1991,1,16
"MI",2008,113506,"Michigan",100,1991,1,17
"MI",2009,53233,"Michigan",100,1991,1,18
"MI",2010,63106,"Michigan",100,1991,1,19
"MI",2011,69870,"Michigan",100,1991,1,20
"MI",2012,63602,"Michigan",100,1991,1,21
"MI",2013,70087,"Michigan",100,1991,1,22
"MI",2014,73488,"Michigan",100,1991,1,23
"MI",2015,36883,"Michigan",100,1991,1,24
"MI",2016,23637,"Michigan",100,1991,1,25
"MI",2017,24973,"Michigan",100,1991,1,26
"MI",2018,32548,"Michigan",100,1991,1,27
"MI",2019,23852,"Michigan",100,1991,1,28
"MI",2020,14983,"Michigan",100,1991,1,29
"MI",2021,23549,"Michigan",100,1991,1,30
"MI",2022,46951,"Michigan",100,1991,1,31
"MN",1976,58171,"Minnesota",33.34,2007,0,-31
"MN",1977,59718,"Minnesota",33.34,2007,0,-30
"MN",1978,61945,"Minnesota",33.34,2007,0,-29
"MN",1979,71263,"Minnesota",33.34,2007,0,-28
"MN",1980,83459,"Minnesota",33.34,2007,0,-27
"MN",1981,98858,"Minnesota",33.34,2007,0,-26
"MN",1982,118609,"Minnesota",33.34,2007,0,-25
"MN",1983,84693,"Minnesota",33.34,2007,0,-24
"MN",1984,74085,"Minnesota",33.34,2007,0,-23
"MN",1985,79963,"Minnesota",33.34,2007,0,-22
"MN",1986,9501,"Minnesota",33.34,2007,0,-21
"MN",1987,8266,"Minnesota",70,2007,0,-20
"MN",1988,7796,"Minnesota",70,2007,0,-19
"MN",1989,6406,"Minnesota",70,2007,0,-18
"MN",1990,2076,"Minnesota",70,2007,0,-17
"MN",1991,2212,"Minnesota",70,2007,0,-16
"MN",1992,2045,"Minnesota",70,2007,0,-15
"MN",1993,3041,"Minnesota",70,2007,0,-14
"MN",1994,2720,"Minnesota",70,2007,0,-13
"MN",1995,2457,"Minnesota",70,2007,0,-12
"MN",1996,3198,"Minnesota",70,2007,0,-11
"MN",1997,3218,"Minnesota",70,2007,0,-10
"MN",1998,1295,"Minnesota",70,2007,0,-9
"MN",1999,2164,"Minnesota",70,2007,0,-8
"MN",2000,2292,"Minnesota",70,2007,0,-7
"MN",2001,1147,"Minnesota",75,2007,0,-6
"MN",2002,13477,"Minnesota",75,2007,0,-5
"MN",2003,23083,"Minnesota",75,2007,0,-4
"MN",2004,14814,"Minnesota",75,2007,0,-3
"MN",2005,32348,"Minnesota",75,2007,0,-2
"MN",2006,28022,"Minnesota",75,2007,0,-1
"MN",2007,34591,"Minnesota",78,2007,1,0
"MN",2008,31821,"Minnesota",81,2007,1,1
"MN",2009,45820,"Minnesota",84,2007,1,2
"MN",2010,23290,"Minnesota",87,2007,1,3
"MN",2011,27618,"Minnesota",90,2007,1,4
"MN",2012,46370,"Minnesota",93,2007,1,5
"MN",2013,54343,"Minnesota",96,2007,1,6
"MN",2014,50578,"Minnesota",100,2007,1,7
"MN",2015,58931,"Minnesota",100,2007,1,8
"MN",2016,49711,"Minnesota",100,2007,1,9
"MN",2017,46593,"Minnesota",100,2007,1,10
"MN",2018,49623,"Minnesota",100,2007,1,11
"MN",2019,60158,"Minnesota",100,2007,1,12
"MN",2020,56358,"Minnesota",100,2007,1,13
"MN",2021,64652,"Minnesota",100,2007,1,14
"MN",2022,104616,"Minnesota",100,2007,1,15
"MS",1976,23601,"Mississippi",33.34,NA,NA,NA
"MS",1977,25358,"Mississippi",33.34,NA,NA,NA
"MS",1978,27559,"Mississippi",33.34,NA,NA,NA
"MS",1979,32922,"Mississippi",33.34,NA,NA,NA
"MS",1980,52514,"Mississippi",33.34,NA,NA,NA
"MS",1981,87886,"Mississippi",33.34,NA,NA,NA
"MS",1982,117012,"Mississippi",33.34,NA,NA,NA
"MS",1983,114628,"Mississippi",33.34,NA,NA,NA
"MS",1984,102956,"Mississippi",33.34,NA,NA,NA
"MS",1985,92898,"Mississippi",33.34,NA,NA,NA
"MS",1986,72925,"Mississippi",33.34,NA,NA,NA
"MS",1987,49190,"Mississippi",33.34,NA,NA,NA
"MS",1988,53224,"Mississippi",33.34,NA,NA,NA
"MS",1989,45083,"Mississippi",33.34,NA,NA,NA
"MS",1990,45558,"Mississippi",33.34,NA,NA,NA
"MS",1991,51182,"Mississippi",33.34,NA,NA,NA
"MS",1992,41994,"Mississippi",33.34,NA,NA,NA
"MS",1993,40256,"Mississippi",33.34,NA,NA,NA
"MS",1994,34214,"Mississippi",33.34,NA,NA,NA
"MS",1995,28656,"Mississippi",33.34,NA,NA,NA
"MS",1996,28222,"Mississippi",33.34,NA,NA,NA
"MS",1997,32933,"Mississippi",33.34,NA,NA,NA
"MS",1998,29682,"Mississippi",33.34,NA,NA,NA
"MS",1999,19259,"Mississippi",33.34,NA,NA,NA
"MS",2000,28139,"Mississippi",33.34,NA,NA,NA
"MS",2001,35103,"Mississippi",33.34,NA,NA,NA
"MS",2002,31897,"Mississippi",33.34,NA,NA,NA
"MS",2003,47241,"Mississippi",33.34,NA,NA,NA
"MS",2004,53809,"Mississippi",100,NA,NA,NA
"MS",2005,66275,"Mississippi",100,NA,NA,NA
"MS",2006,89910,"Mississippi",100,NA,NA,NA
"MS",2007,81814,"Mississippi",100,NA,NA,NA
"MS",2008,135248,"Mississippi",100,NA,NA,NA
"MS",2009,113762,"Mississippi",100,NA,NA,NA
"MS",2010,90832,"Mississippi",100,NA,NA,NA
"MS",2011,105100,"Mississippi",100,NA,NA,NA
"MS",2012,116379,"Mississippi",100,NA,NA,NA
"MS",2013,104692,"Mississippi",100,NA,NA,NA
"MS",2014,91059,"Mississippi",100,NA,NA,NA
"MS",2015,78726,"Mississippi",100,NA,NA,NA
"MS",2016,39194,"Mississippi",100,NA,NA,NA
"MS",2017,42134,"Mississippi",100,NA,NA,NA
"MS",2018,47418,"Mississippi",100,NA,NA,NA
"MS",2019,51741,"Mississippi",100,NA,NA,NA
"MS",2020,36507,"Mississippi",100,NA,NA,NA
"MS",2021,29635,"Mississippi",100,NA,NA,NA
"MS",2022,51364,"Mississippi",100,NA,NA,NA
"MO",1976,0,"Missouri",33.34,2020,0,-44
"MO",1977,0,"Missouri",33.34,2020,0,-43
"MO",1978,36,"Missouri",33.34,2020,0,-42
"MO",1979,45,"Missouri",33.34,2020,0,-41
"MO",1980,46,"Missouri",33.34,2020,0,-40
"MO",1981,19,"Missouri",33.34,2020,0,-39
"MO",1982,30,"Missouri",33.34,2020,0,-38
"MO",1983,25,"Missouri",33.34,2020,0,-37
"MO",1984,26,"Missouri",33.34,2020,0,-36
"MO",1985,41,"Missouri",33.34,2020,0,-35
"MO",1986,31,"Missouri",33.34,2020,0,-34
"MO",1987,21,"Missouri",33.34,2020,0,-33
"MO",1988,33,"Missouri",33.34,2020,0,-32
"MO",1989,26,"Missouri",33.34,2020,0,-31
"MO",1990,35,"Missouri",33.34,2020,0,-30
"MO",1991,42,"Missouri",33.34,2020,0,-29
"MO",1992,109,"Missouri",33.34,2020,0,-28
"MO",1993,35,"Missouri",33.34,2020,0,-27
"MO",1994,61,"Missouri",33.34,2020,0,-26
"MO",1995,21,"Missouri",33.34,2020,0,-25
"MO",1996,12,"Missouri",33.34,2020,0,-24
"MO",1997,114,"Missouri",33.34,2020,0,-23
"MO",1998,81,"Missouri",33.34,2020,0,-22
"MO",1999,33,"Missouri",100,2020,0,-21
"MO",2000,120,"Missouri",100,2020,0,-20
"MO",2001,63,"Missouri",100,2020,0,-19
"MO",2002,0,"Missouri",100,2020,0,-18
"MO",2003,33,"Missouri",100,2020,0,-17
"MO",2004,53,"Missouri",100,2020,0,-16
"MO",2005,75,"Missouri",100,2020,0,-15
"MO",2006,49,"Missouri",100,2020,0,-14
"MO",2007,58,"Missouri",100,2020,0,-13
"MO",2008,21,"Missouri",100,2020,0,-12
"MO",2009,18,"Missouri",100,2020,0,-11
"MO",2010,2,"Missouri",100,2020,0,-10
"MO",2011,5,"Missouri",100,2020,0,-9
"MO",2012,2,"Missouri",100,2020,0,-8
"MO",2013,8,"Missouri",100,2020,0,-7
"MO",2014,5,"Missouri",100,2020,0,-6
"MO",2015,1,"Missouri",100,2020,0,-5
"MO",2016,9,"Missouri",100,2020,0,-4
"MO",2017,18,"Missouri",100,2020,0,-3
"MO",2018,2,"Missouri",100,2020,0,-2
"MO",2019,4,"Missouri",100,2020,0,-1
"MO",2020,1,"Missouri",100,2020,1,0
"MO",2021,0,"Missouri",100,2020,1,1
"MO",2022,0,"Missouri",100,2020,1,2
"MT",1976,31344,"Montana",33.34,2025,0,-49
"MT",1977,43543,"Montana",33.34,2025,0,-48
"MT",1978,44667,"Montana",33.34,2025,0,-47
"MT",1979,53919,"Montana",33.34,2025,0,-46
"MT",1980,94636,"Montana",33.34,2025,0,-45
"MT",1981,99248,"Montana",33.34,2025,0,-44
"MT",1982,149361,"Montana",33.34,2025,0,-43
"MT",1983,137599,"Montana",33.34,2025,0,-42
"MT",1984,144761,"Montana",33.34,2025,0,-41
"MT",1985,150673,"Montana",33.34,2025,0,-40
"MT",1986,129934,"Montana",33.34,2025,0,-39
"MT",1987,101453,"Montana",33.34,2025,0,-38
"MT",1988,112779,"Montana",33.34,2025,0,-37
"MT",1989,85457,"Montana",33.34,2025,0,-36
"MT",1990,95740,"Montana",33.34,2025,0,-35
"MT",1991,82913,"Montana",33.34,2025,0,-34
"MT",1992,123795,"Montana",33.34,2025,0,-33
"MT",1993,97141,"Montana",33.34,2025,0,-32
"MT",1994,90893,"Montana",33.34,2025,0,-31
"MT",1995,83241,"Montana",33.34,2025,0,-30
"MT",1996,88303,"Montana",33.34,2025,0,-29
"MT",1997,93907,"Montana",33.34,2025,0,-28
"MT",1998,76112,"Montana",33.34,2025,0,-27
"MT",1999,74190,"Montana",33.34,2025,0,-26
"MT",2000,85226,"Montana",33.34,2025,0,-25
"MT",2001,131900,"Montana",33.34,2025,0,-24
"MT",2002,88882,"Montana",33.34,2025,0,-23
"MT",2003,111095,"Montana",33.34,2025,0,-22
"MT",2004,83503,"Montana",33.34,2025,0,-21
"MT",2005,181201,"Montana",33.34,2025,0,-20
"MT",2006,247385,"Montana",33.34,2025,0,-19
"MT",2007,264740,"Montana",33.34,2025,0,-18
"MT",2008,347221,"Montana",33.34,2025,0,-17
"MT",2009,349714,"Montana",33.34,2025,0,-16
"MT",2010,253649,"Montana",33.34,2025,0,-15
"MT",2011,278372,"Montana",33.34,2025,0,-14
"MT",2012,305617,"Montana",33.34,2025,0,-13
"MT",2013,282356,"Montana",33.34,2025,0,-12
"MT",2014,305614,"Montana",33.34,2025,0,-11
"MT",2015,269287,"Montana",33.34,2025,0,-10
"MT",2016,164373,"Montana",33.34,2025,0,-9
"MT",2017,167471,"Montana",33.34,2025,0,-8
"MT",2018,185397,"Montana",33.34,2025,0,-7
"MT",2019,202463,"Montana",33.34,2025,0,-6
"MT",2020,173824,"Montana",33.34,2025,0,-5
"MT",2021,130998,"Montana",33.34,2025,0,-4
"MT",2022,227029,"Montana",50,2025,0,-3
"NE",1976,1113,"Nebraska",33.34,1988,0,-12
"NE",1977,1131,"Nebraska",33.34,1988,0,-11
"NE",1978,1243,"Nebraska",33.34,1988,0,-10
"NE",1979,1516,"Nebraska",33.34,1988,0,-9
"NE",1980,2948,"Nebraska",33.34,1988,0,-8
"NE",1981,4196,"Nebraska",33.34,1988,0,-7
"NE",1982,6010,"Nebraska",33.34,1988,0,-6
"NE",1983,5217,"Nebraska",33.34,1988,0,-5
"NE",1984,4539,"Nebraska",33.34,1988,0,-4
"NE",1985,4607,"Nebraska",33.34,1988,0,-3
"NE",1986,4037,"Nebraska",33.34,1988,0,-2
"NE",1987,2396,"Nebraska",33.34,1988,0,-1
"NE",1988,2571,"Nebraska",46.67,1988,1,0
"NE",1989,2284,"Nebraska",60,1988,1,1
"NE",1990,2729,"Nebraska",73.33,1988,1,2
"NE",1991,3201,"Nebraska",86.67,1988,1,3
"NE",1992,2631,"Nebraska",100,1988,1,4
"NE",1993,2344,"Nebraska",100,1988,1,5
"NE",1994,1628,"Nebraska",100,1988,1,6
"NE",1995,1573,"Nebraska",100,1988,1,7
"NE",1996,1492,"Nebraska",100,1988,1,8
"NE",1997,1806,"Nebraska",100,1988,1,9
"NE",1998,1334,"Nebraska",100,1988,1,10
"NE",1999,764,"Nebraska",100,1988,1,11
"NE",2000,1658,"Nebraska",100,1988,1,12
"NE",2001,2041,"Nebraska",100,1988,1,13
"NE",2002,1221,"Nebraska",100,1988,1,14
"NE",2003,1782,"Nebraska",100,1988,1,15
"NE",2004,1806,"Nebraska",100,1988,1,16
"NE",2005,2560,"Nebraska",100,1988,1,17
"NE",2006,2820,"Nebraska",100,1988,1,18
"NE",2007,2499,"Nebraska",100,1988,1,19
"NE",2008,4968,"Nebraska",100,1988,1,20
"NE",2009,4718,"Nebraska",100,1988,1,21
"NE",2010,3473,"Nebraska",100,1988,1,22
"NE",2011,4440,"Nebraska",100,1988,1,23
"NE",2012,5355,"Nebraska",100,1988,1,24
"NE",2013,4064,"Nebraska",100,1988,1,25
"NE",2014,6762,"Nebraska",100,1988,1,26
"NE",2015,5282,"Nebraska",100,1988,1,27
"NE",2016,2527,"Nebraska",100,1988,1,28
"NE",2017,3289,"Nebraska",100,1988,1,29
"NE",2018,3236,"Nebraska",100,1988,1,30
"NE",2019,3382,"Nebraska",100,1988,1,31
"NE",2020,2396,"Nebraska",100,1988,1,32
"NE",2021,2514,"Nebraska",100,1988,1,33
"NE",2022,4643,"Nebraska",100,1988,1,34
"NH",1976,103,"New Hampshire",33.34,2022,0,-46
"NH",1977,144,"New Hampshire",33.34,2022,0,-45
"NH",1978,174,"New Hampshire",33.34,2022,0,-44
"NH",1979,207,"New Hampshire",33.34,2022,0,-43
"NH",1980,311,"New Hampshire",33.34,2022,0,-42
"NH",1981,52,"New Hampshire",33.34,2022,0,-41
"NH",1982,45,"New Hampshire",33.34,2022,0,-40
"NH",1983,83,"New Hampshire",33.34,2022,0,-39
"NH",1984,56,"New Hampshire",33.34,2022,0,-38
"NH",1985,104,"New Hampshire",33.34,2022,0,-37
"NH",1986,485,"New Hampshire",33.34,2022,0,-36
"NH",1987,85,"New Hampshire",33.34,2022,0,-35
"NH",1988,0,"New Hampshire",33.34,2022,0,-34
"NH",1989,147,"New Hampshire",33.34,2022,0,-33
"NH",1990,159,"New Hampshire",33.34,2022,0,-32
"NH",1991,127,"New Hampshire",33.34,2022,0,-31
"NH",1992,40,"New Hampshire",50,2022,0,-30
"NH",1993,26,"New Hampshire",50,2022,0,-29
"NH",1994,0,"New Hampshire",50,2022,0,-28
"NH",1995,1,"New Hampshire",50,2022,0,-27
"NH",1996,0,"New Hampshire",50,2022,0,-26
"NH",1997,0,"New Hampshire",50,2022,0,-25
"NH",1998,0,"New Hampshire",50,2022,0,-24
"NH",1999,0,"New Hampshire",50,2022,0,-23
"NH",2000,0,"New Hampshire",50,2022,0,-22
"NH",2001,0,"New Hampshire",50,2022,0,-21
"NH",2002,0,"New Hampshire",50,2022,0,-20
"NH",2003,0,"New Hampshire",50,2022,0,-19
"NH",2004,0,"New Hampshire",50,2022,0,-18
"NH",2005,0,"New Hampshire",50,2022,0,-17
"NH",2006,0,"New Hampshire",50,2022,0,-16
"NH",2007,0,"New Hampshire",50,2022,0,-15
"NH",2008,0,"New Hampshire",50,2022,0,-14
"NH",2009,0,"New Hampshire",50,2022,0,-13
"NH",2010,0,"New Hampshire",50,2022,0,-12
"NH",2011,0,"New Hampshire",50,2022,0,-11
"NH",2012,0,"New Hampshire",50,2022,0,-10
"NH",2013,0,"New Hampshire",50,2022,0,-9
"NH",2014,NA,"New Hampshire",50,2022,0,-8
"NH",2015,NA,"New Hampshire",50,2022,0,-7
"NH",2016,NA,"New Hampshire",50,2022,0,-6
"NH",2017,NA,"New Hampshire",50,2022,0,-5
"NH",2018,NA,"New Hampshire",50,2022,0,-4
"NH",2019,NA,"New Hampshire",50,2022,0,-3
"NH",2020,NA,"New Hampshire",50,2022,0,-2
"NH",2021,NA,"New Hampshire",50,2022,0,-1
"NH",2022,NA,"New Hampshire",100,2022,1,0
"NJ",1976,NA,"New Jersey",33.34,2012,0,-36
"NJ",1977,NA,"New Jersey",33.34,2012,0,-35
"NJ",1978,NA,"New Jersey",33.34,2012,0,-34
"NJ",1979,NA,"New Jersey",33.34,2012,0,-33
"NJ",1980,NA,"New Jersey",33.34,2012,0,-32
"NJ",1981,NA,"New Jersey",33.34,2012,0,-31
"NJ",1982,NA,"New Jersey",33.34,2012,0,-30
"NJ",1983,NA,"New Jersey",33.34,2012,0,-29
"NJ",1984,NA,"New Jersey",33.34,2012,0,-28
"NJ",1985,NA,"New Jersey",33.34,2012,0,-27
"NJ",1986,NA,"New Jersey",33.34,2012,0,-26
"NJ",1987,NA,"New Jersey",33.34,2012,0,-25
"NJ",1988,NA,"New Jersey",33.34,2012,0,-24
"NJ",1989,NA,"New Jersey",33.34,2012,0,-23
"NJ",1990,NA,"New Jersey",33.34,2012,0,-22
"NJ",1991,NA,"New Jersey",33.34,2012,0,-21
"NJ",1992,NA,"New Jersey",33.34,2012,0,-20
"NJ",1993,NA,"New Jersey",33.34,2012,0,-19
"NJ",1994,NA,"New Jersey",33.34,2012,0,-18
"NJ",1995,NA,"New Jersey",33.34,2012,0,-17
"NJ",1996,NA,"New Jersey",50,2012,0,-16
"NJ",1997,NA,"New Jersey",50,2012,0,-15
"NJ",1998,NA,"New Jersey",50,2012,0,-14
"NJ",1999,NA,"New Jersey",50,2012,0,-13
"NJ",2000,NA,"New Jersey",50,2012,0,-12
"NJ",2001,NA,"New Jersey",50,2012,0,-11
"NJ",2002,NA,"New Jersey",50,2012,0,-10
"NJ",2003,NA,"New Jersey",50,2012,0,-9
"NJ",2004,NA,"New Jersey",50,2012,0,-8
"NJ",2005,NA,"New Jersey",50,2012,0,-7
"NJ",2006,NA,"New Jersey",50,2012,0,-6
"NJ",2007,NA,"New Jersey",50,2012,0,-5
"NJ",2008,NA,"New Jersey",50,2012,0,-4
"NJ",2009,NA,"New Jersey",50,2012,0,-3
"NJ",2010,NA,"New Jersey",50,2012,0,-2
"NJ",2011,NA,"New Jersey",50,2012,0,-1
"NJ",2012,NA,"New Jersey",70,2012,1,0
"NJ",2013,NA,"New Jersey",90,2012,1,1
"NJ",2014,NA,"New Jersey",100,2012,1,2
"NJ",2015,NA,"New Jersey",100,2012,1,3
"NJ",2016,NA,"New Jersey",100,2012,1,4
"NJ",2017,NA,"New Jersey",100,2012,1,5
"NJ",2018,NA,"New Jersey",100,2012,1,6
"NJ",2019,NA,"New Jersey",100,2012,1,7
"NJ",2020,NA,"New Jersey",100,2012,1,8
"NJ",2021,NA,"New Jersey",100,2012,1,9
"NJ",2022,NA,"New Jersey",100,2012,1,10
"NM",1976,87485,"New Mexico",33.34,NA,NA,NA
"NM",1977,102783,"New Mexico",33.34,NA,NA,NA
"NM",1978,145826,"New Mexico",33.34,NA,NA,NA
"NM",1979,159431,"New Mexico",33.34,NA,NA,NA
"NM",1980,213643,"New Mexico",33.34,NA,NA,NA
"NM",1981,322592,"New Mexico",33.34,NA,NA,NA
"NM",1982,377802,"New Mexico",33.34,NA,NA,NA
"NM",1983,351343,"New Mexico",33.34,NA,NA,NA
"NM",1984,367449,"New Mexico",33.34,NA,NA,NA
"NM",1985,390817,"New Mexico",33.34,NA,NA,NA
"NM",1986,367214,"New Mexico",33.34,NA,NA,NA
"NM",1987,235044,"New Mexico",33.34,NA,NA,NA
"NM",1988,291880,"New Mexico",33.34,NA,NA,NA
"NM",1989,256171,"New Mexico",33.34,NA,NA,NA
"NM",1990,292690,"New Mexico",33.34,NA,NA,NA
"NM",1991,256431,"New Mexico",33.34,NA,NA,NA
"NM",1992,239170,"New Mexico",33.34,NA,NA,NA
"NM",1993,309766,"New Mexico",33.34,NA,NA,NA
"NM",1994,330669,"New Mexico",33.34,NA,NA,NA
"NM",1995,294297,"New Mexico",33.34,NA,NA,NA
"NM",1996,307231,"New Mexico",33.34,NA,NA,NA
"NM",1997,405828,"New Mexico",33.34,NA,NA,NA
"NM",1998,407699,"New Mexico",33.34,NA,NA,NA
"NM",1999,269940,"New Mexico",33.34,NA,NA,NA
"NM",2000,439327,"New Mexico",33.34,NA,NA,NA
"NM",2001,675212,"New Mexico",33.34,NA,NA,NA
"NM",2002,453397,"New Mexico",33.34,NA,NA,NA
"NM",2003,483739,"New Mexico",33.34,NA,NA,NA
"NM",2004,587625,"New Mexico",33.34,NA,NA,NA
"NM",2005,712539,"New Mexico",33.34,NA,NA,NA
"NM",2006,923304,"New Mexico",33.34,NA,NA,NA
"NM",2007,942354,"New Mexico",33.34,NA,NA,NA
"NM",2008,625938,"New Mexico",33.34,NA,NA,NA
"NM",2009,931812,"New Mexico",33.34,NA,NA,NA
"NM",2010,654752,"New Mexico",33.34,NA,NA,NA
"NM",2011,666383,"New Mexico",33.34,NA,NA,NA
"NM",2012,944952,"New Mexico",33.34,NA,NA,NA
"NM",2013,843207,"New Mexico",33.34,NA,NA,NA
"NM",2014,1066343,"New Mexico",33.34,NA,NA,NA
"NM",2015,1001741,"New Mexico",33.34,NA,NA,NA
"NM",2016,861653,"New Mexico",33.34,NA,NA,NA
"NM",2017,749782,"New Mexico",33.34,NA,NA,NA
"NM",2018,1042547,"New Mexico",33.34,NA,NA,NA
"NM",2019,1491507,"New Mexico",33.34,NA,NA,NA
"NM",2020,1415606,"New Mexico",33.34,NA,NA,NA
"NM",2021,1804377,"New Mexico",33.34,NA,NA,NA
"NM",2022,2250072,"New Mexico",33.34,NA,NA,NA
"NY",1976,NA,"New York",50,2015,0,-39
"NY",1977,NA,"New York",50,2015,0,-38
"NY",1978,NA,"New York",50,2015,0,-37
"NY",1979,NA,"New York",50,2015,0,-36
"NY",1980,NA,"New York",50,2015,0,-35
"NY",1981,NA,"New York",50,2015,0,-34
"NY",1982,NA,"New York",50,2015,0,-33
"NY",1983,NA,"New York",50,2015,0,-32
"NY",1984,NA,"New York",50,2015,0,-31
"NY",1985,NA,"New York",50,2015,0,-30
"NY",1986,NA,"New York",50,2015,0,-29
"NY",1987,NA,"New York",50,2015,0,-28
"NY",1988,NA,"New York",50,2015,0,-27
"NY",1989,NA,"New York",50,2015,0,-26
"NY",1990,NA,"New York",50,2015,0,-25
"NY",1991,NA,"New York",50,2015,0,-24
"NY",1992,NA,"New York",50,2015,0,-23
"NY",1993,NA,"New York",50,2015,0,-22
"NY",1994,NA,"New York",50,2015,0,-21
"NY",1995,NA,"New York",50,2015,0,-20
"NY",1996,NA,"New York",50,2015,0,-19
"NY",1997,NA,"New York",50,2015,0,-18
"NY",1998,NA,"New York",50,2015,0,-17
"NY",1999,NA,"New York",50,2015,0,-16
"NY",2000,NA,"New York",50,2015,0,-15
"NY",2001,NA,"New York",50,2015,0,-14
"NY",2002,NA,"New York",50,2015,0,-13
"NY",2003,NA,"New York",50,2015,0,-12
"NY",2004,NA,"New York",50,2015,0,-11
"NY",2005,NA,"New York",50,2015,0,-10
"NY",2006,NA,"New York",50,2015,0,-9
"NY",2007,NA,"New York",80,2015,0,-8
"NY",2008,NA,"New York",100,2015,0,-7
"NY",2009,NA,"New York",100,2015,0,-6
"NY",2010,NA,"New York",100,2015,0,-5
"NY",2011,NA,"New York",100,2015,0,-4
"NY",2012,NA,"New York",100,2015,0,-3
"NY",2013,NA,"New York",100,2015,0,-2
"NY",2014,NA,"New York",100,2015,0,-1
"NY",2015,NA,"New York",100,2015,1,0
"NY",2016,NA,"New York",100,2015,1,1
"NY",2017,NA,"New York",100,2015,1,2
"NY",2018,NA,"New York",100,2015,1,3
"NY",2019,NA,"New York",100,2015,1,4
"NY",2020,NA,"New York",100,2015,1,5
"NY",2021,NA,"New York",100,2015,1,6
"NY",2022,NA,"New York",100,2015,1,7
"NC",1976,0,"North Carolina",33.34,2016,0,-40
"NC",1977,0,"North Carolina",33.34,2016,0,-39
"NC",1978,0,"North Carolina",33.34,2016,0,-38
"NC",1979,1013,"North Carolina",33.34,2016,0,-37
"NC",1980,1292,"North Carolina",33.34,2016,0,-36
"NC",1981,1385,"North Carolina",33.34,2016,0,-35
"NC",1982,1217,"North Carolina",33.34,2016,0,-34
"NC",1983,1197,"North Carolina",33.34,2016,0,-33
"NC",1984,1334,"North Carolina",33.34,2016,0,-32
"NC",1985,1469,"North Carolina",33.34,2016,0,-31
"NC",1986,1436,"North Carolina",33.34,2016,0,-30
"NC",1987,1436,"North Carolina",33.34,2016,0,-29
"NC",1988,1579,"North Carolina",33.34,2016,0,-28
