"State_Acronym","year","year_effective","State_Name","log_ci","Post","rel_year","treated","event_id","year_event_id"
"CO",1987,2009,"Colorado",14.5421328103814,0,-22,0,"NE_1988","1987_NE_1988"
"CO",1988,2009,"Colorado",14.7100736108186,0,-21,0,"NE_1988","1988_NE_1988"
"CO",1989,2009,"Colorado",14.9508696396965,0,-20,0,"NE_1988","1989_NE_1988"
"CO",1990,2009,"Colorado",14.6416091018532,0,-19,0,"NE_1988","1990_NE_1988"
"CO",1991,2009,"Colorado",14.5859157306743,0,-18,0,"NE_1988","1991_NE_1988"
"CO",1992,2009,"Colorado",14.6801678566386,0,-17,0,"NE_1988","1992_NE_1988"
"CT",1984,2016,"Connecticut",15.2062973131543,0,-32,0,"NE_1988","1984_NE_1988"
"CT",1985,2016,"Connecticut",15.4037391341509,0,-31,0,"NE_1988","1985_NE_1988"
"CT",1986,2016,"Connecticut",15.6349241039741,0,-30,0,"NE_1988","1986_NE_1988"
"CT",1987,2016,"Connecticut",15.657150073415,0,-29,0,"NE_1988","1987_NE_1988"
"CT",1988,2016,"Connecticut",15.6092879897356,0,-28,0,"NE_1988","1988_NE_1988"
"CT",1989,2016,"Connecticut",15.8948933479183,0,-27,0,"NE_1988","1989_NE_1988"
"CT",1990,2016,"Connecticut",15.7320301477673,0,-26,0,"NE_1988","1990_NE_1988"
"CT",1991,2016,"Connecticut",15.4562126138352,0,-25,0,"NE_1988","1991_NE_1988"
"CT",1992,2016,"Connecticut",15.5967481997327,0,-24,0,"NE_1988","1992_NE_1988"
"DE",1984,2017,"Delaware",13.1530820914442,0,-33,0,"NE_1988","1984_NE_1988"
"DE",1985,2017,"Delaware",13.7621582790184,0,-32,0,"NE_1988","1985_NE_1988"
"DE",1986,2017,"Delaware",13.7448537413117,0,-31,0,"NE_1988","1986_NE_1988"
"DE",1987,2017,"Delaware",14.0044861725416,0,-30,0,"NE_1988","1987_NE_1988"
"DE",1988,2017,"Delaware",14.1314365411142,0,-29,0,"NE_1988","1988_NE_1988"
"DE",1989,2017,"Delaware",14.3956048772432,0,-28,0,"NE_1988","1989_NE_1988"
"DE",1990,2017,"Delaware",14.1186076883117,0,-27,0,"NE_1988","1990_NE_1988"
"DE",1991,2017,"Delaware",14.1573623872642,0,-26,0,"NE_1988","1991_NE_1988"
"DE",1992,2017,"Delaware",14.2073740028818,0,-25,0,"NE_1988","1992_NE_1988"
"FL",1984,NA,"Florida",15.8046060779929,0,-99,0,"NE_1988","1984_NE_1988"
"FL",1985,NA,"Florida",15.9264683845892,0,-99,0,"NE_1988","1985_NE_1988"
"FL",1986,NA,"Florida",15.9962874798478,0,-99,0,"NE_1988","1986_NE_1988"
"FL",1987,NA,"Florida",16.1991459627164,0,-99,0,"NE_1988","1987_NE_1988"
"FL",1988,NA,"Florida",16.2443790218376,0,-99,0,"NE_1988","1988_NE_1988"
"FL",1989,NA,"Florida",16.3948509705575,0,-99,0,"NE_1988","1989_NE_1988"
"FL",1990,NA,"Florida",16.3575777259671,0,-99,0,"NE_1988","1990_NE_1988"
"FL",1991,NA,"Florida",16.174903801443,0,-99,0,"NE_1988","1991_NE_1988"
"FL",1992,NA,"Florida",16.3522532336223,0,-99,0,"NE_1988","1992_NE_1988"
"GA",1984,2006,"Georgia",15.4767816190384,0,-22,0,"NE_1988","1984_NE_1988"
"GA",1985,2006,"Georgia",15.7572477265208,0,-21,0,"NE_1988","1985_NE_1988"
"GA",1986,2006,"Georgia",15.7569320767459,0,-20,0,"NE_1988","1986_NE_1988"
"GA",1987,2006,"Georgia",15.8285807888621,0,-19,0,"NE_1988","1987_NE_1988"
"GA",1988,2006,"Georgia",15.8928018728959,0,-18,0,"NE_1988","1988_NE_1988"
"GA",1989,2006,"Georgia",15.9845928293542,0,-17,0,"NE_1988","1989_NE_1988"
"GA",1990,2006,"Georgia",15.8912326912123,0,-16,0,"NE_1988","1990_NE_1988"
"GA",1991,2006,"Georgia",15.7531917033562,0,-15,0,"NE_1988","1991_NE_1988"
"GA",1992,2006,"Georgia",15.6488543976968,0,-14,0,"NE_1988","1992_NE_1988"
"HI",1984,NA,"Hawaii",13.2607200660621,0,-99,0,"NE_1988","1984_NE_1988"
"HI",1985,NA,"Hawaii",13.536424970005,0,-99,0,"NE_1988","1985_NE_1988"
"HI",1986,NA,"Hawaii",13.4268521799737,0,-99,0,"NE_1988","1986_NE_1988"
"HI",1987,NA,"Hawaii",13.9977409647709,0,-99,0,"NE_1988","1987_NE_1988"
"HI",1988,NA,"Hawaii",14.0140155577268,0,-99,0,"NE_1988","1988_NE_1988"
"HI",1989,NA,"Hawaii",14.1350886567445,0,-99,0,"NE_1988","1989_NE_1988"
"HI",1990,NA,"Hawaii",14.2078693185671,0,-99,0,"NE_1988","1990_NE_1988"
"HI",1991,NA,"Hawaii",14.4134881738331,0,-99,0,"NE_1988","1991_NE_1988"
"HI",1992,NA,"Hawaii",13.8727175817339,0,-99,0,"NE_1988","1992_NE_1988"
"ID",1984,2022,"Idaho",12.705430163829,0,-38,0,"NE_1988","1984_NE_1988"
"ID",1985,2022,"Idaho",13.2254824218024,0,-37,0,"NE_1988","1985_NE_1988"
"ID",1986,2022,"Idaho",13.2247793022665,0,-36,0,"NE_1988","1986_NE_1988"
"ID",1987,2022,"Idaho",13.3283845504995,0,-35,0,"NE_1988","1987_NE_1988"
"ID",1988,2022,"Idaho",13.550111693753,0,-34,0,"NE_1988","1988_NE_1988"
"ID",1989,2022,"Idaho",13.7048722503435,0,-33,0,"NE_1988","1989_NE_1988"
"ID",1990,2022,"Idaho",13.7197152605094,0,-32,0,"NE_1988","1990_NE_1988"
"ID",1991,2022,"Idaho",13.5230169285153,0,-31,0,"NE_1988","1991_NE_1988"
