"State_Name","year(-1)","year(0)","year(1)","diff1","diff2","year_effective"
"Iowa",13.7309761108495,13.9013303920152,14.0784438912506,0.1703542811657,0.3474677804011,1978
"Nebraska",13.8292948163003,13.9194369630702,14.0081049822407,0.0901421467699013,0.178810165940401,1988
"Michigan",18.1626819581784,18.0319528687399,18.1141260966779,-0.1307290894385,-0.0485558615004997,1991
"Illinois",17.5258079598585,17.5958704244946,17.668001599616,0.0700624646360986,0.142193639757501,1999
"Oregon",15.0441804094605,15.3943799161045,15.5267034028371,0.350199506644,0.4825229933766,2004
"Georgia",16.2896792056564,16.5132095923338,16.6459622490276,0.2235303866774,0.356283043371199,2006
"Wisconsin",16.1088658452747,16.1408722581416,16.2740808134581,0.0320064128668989,0.165214968183399,2006
"Arizona",16.3625361972959,16.465138993732,16.2363708339424,0.102602796436102,-0.1261653633535,2007
"Indiana",16.3235524150073,16.2676417965901,16.185747702379,-0.0559106184171974,-0.137804712628299,2007
"Maine",14.5600361356734,14.5376401562034,14.5412398310707,-0.0223959794699997,-0.0187963046027004,2007
"Minnesota",16.2077162061142,16.3070414772556,16.1779795423192,0.0993252711413994,-0.0297366637949992,2007
"Pennsylvania",16.869074414347,16.946130223779,16.9036458868252,0.0770558094320002,0.0345714724781985,2007
"South Carolina",15.5963876954946,15.646176588441,15.6484119705235,0.049788892946399,0.0520242750288986,2007
"Colorado",16.2108224850157,15.7780815120512,15.8664809616209,-0.432740972964501,-0.344341523394801,2009
"California",18.4512701839067,18.5045720058017,18.3144400018938,0.0533018218949977,-0.136830182012901,2011
"Utah",15.4087377843504,15.4155484281087,15.4586849417824,0.00681064375829976,0.0499471574319994,2011
"New Jersey",17.0193575693999,16.8805268458042,17.0485325194308,-0.138830723595699,0.0291749500308995,2012
"New York",18.0419714569271,18.0867210946172,17.9796229733487,0.0447496376900993,-0.0623484835784005,2015
"Rhode Island",14.2395284203732,14.7394065818641,14.5386949284006,0.499878161490901,0.299166508027401,2015
"Connecticut",15.7926947887533,15.9562196519913,16.1150320741064,0.163524863238001,0.322337285353099,2016
"Louisiana",14.9694392873031,14.5785277252331,15.1079096752856,-0.39091156207,0.138470387982499,2016
"North Carolina",17.09658942887,17.0987789558201,17.0437305894354,0.00218952695010088,-0.0528588394346023,2016
"North Dakota",15.2281598546286,14.687386227712,14.1607444316795,-0.5407736269166,-1.0674154229491,2016
"Delaware",15.1121316953117,14.8556451044436,14.8900892122705,-0.2564865908681,-0.2220424830412,2017
"Kentucky",15.8494533876978,16.3405723132848,16.5403523217063,0.491118925586999,0.690898934008501,2018
"Maryland",16.3123996758356,16.343104128882,16.5736391743731,0.0307044530464005,0.261239498537499,2018
"Missouri",15.5911677451662,16.0250479099082,16.6587572230234,0.433880164742,1.0675894778572,2020
"Alabama",16.2668763337302,16.6748554964378,16.9297900195803,0.407979162707601,0.6629136858501,2021
"Arkansas",15.791787888292,16.1156038392953,16.4554186151965,0.323815951003301,0.6636307269045,2021
