"","State_Acronym","year","BUSLICTAX","CORPINCTX","CORPLICTAX","PROPTAX","SLGRTAX","SVRNCTAX","TLINCTAX","TLSLTAX","TOTLTAX","INCTAX","SALESTAX","state","sales","Region","Number","perc_change_Sales","perc_change_CIT_Rev"
"41","CA",2012,4293352,7949000,53003,2079878,41341188,37112,62973435,10087559,115178568,55024435,NA,"California",100,"Far West",8,0,-0.189561291458426
"42","CO",2007,35221,479445,8887,0,3450208,136888,5274868,1254015,9216983,4795423,NA,"Colorado",33.34,"Rocky Mountain",7,0,NA
"43","CO",2008,33717,507986,13115,0,3519589,151474,5575967,1206858,9624636,5067981,NA,"Colorado",33.34,"Rocky Mountain",7,0,0.0578085962462187
"44","CO",2009,33003,329545,14674,0,3299250,285015,4732991,1175579,8682822,4403446,NA,"Colorado",100,"Rocky Mountain",7,0.999850007499625,-0.426111988690568
"45","CO",2010,42068,360003,13881,0,3504749,71436,4449951,1465335,8575262,4089948,NA,"Colorado",100,"Rocky Mountain",7,0,0.0883419283356634
"46","CT",1981,18564,248720,4412,12,1511012,NA,366506,594344,2071885,117786,NA,"Connecticut",33.34,"New England",1,0,NA
"47","CT",1982,19107,349283,4750,12,1650473,NA,487009,646309,2342572,137726,NA,"Connecticut",33.34,"New England",1,0,0.33632941640761
"48","CT",1983,22055,357364,5331,11,1798600,NA,535899,694464,2537725,178535,NA,"Connecticut",50,"New England",1,0.399808015358771,0.0228713912321145
"49","CT",1984,29551,401801,5286,12,2118444,NA,680483,779334,3086003,278682,NA,"Connecticut",50,"New England",1,0,0.11706809455125
"50","CT",2014,132703,627358,27828,NA,6782404,NA,8399960,2801042,15937742,7772602,NA,"Connecticut",50,"New England",1,0,0.438332658024659
"51","CT",2015,135825,650014,27828,NA,6554350,NA,8832085,2471563,16184490,8182071,NA,"Connecticut",50,"New England",1,0,0.0354728301544108
"52","CT",2016,133427,765492,28878,NA,6518905,NA,8322645,2766112,15659420,7557153,NA,"Connecticut",100,"New England",1,0.666666666666667,0.163161441915471
"53","CT",2017,111366,897247,29791,NA,6991466,NA,8856739,2754847,16686545,7959492,NA,"Connecticut",100,"New England",1,0,0.158479472725425
"54","DE",2015,112096,400746,1206182,NA,498557,NA,1540994,498557,3513916,1140248,NA,"Delaware",33.34,"Mideast",2,0,NA
"55","DE",2016,105868,318152,1274897,NA,539193,NA,1430520,539193,3522405,1112368,NA,"Delaware",33.34,"Mideast",2,0,-0.229779468019107
"56","DE",2017,120843,246175,1304919,NA,556490,NA,1427150,556490,3589030,1180975,NA,"Delaware",50,"Mideast",2,0.399808015358771,-0.255089690906159
"57","DE",2018,117494,254802,1378003,NA,585645,NA,1907137,585645,4220057,1652335,NA,"Delaware",60,"Mideast",2,0.181818181818182,0.0344407028665987
"58","DE",2019,140916,289974,1560527,NA,602601,NA,2031392,602601,4596190,1741418,NA,"Delaware",75,"Mideast",2,0.222222222222222,0.129124631041015
"59","DE",2020,127014,244913,1643896,NA,585504,NA,1930761,585504,4555474,1685848,NA,"Delaware",100,"Mideast",2,0.285714285714286,-0.168487923617512
"60","DE",2021,161821,334805,1822622,NA,587923,NA,2483094,587923,5395710,2148289,NA,"Delaware",100,"Mideast",2,0,0.310123197830669
"61","GA",1993,51092,470710,24430,31726,3855472,NA,3860631,875703,8150457,3389921,NA,"Georgia",33.34,NA,NA,0,NA
"62","GA",1994,57923,521399,25065,33779,4151459,NA,4102113,884647,8784065,3580714,NA,"Georgia",33.34,NA,NA,0,0.102184336600111
"63","GA",1995,65387,653296,28903,32893,4460160,NA,4494891,921485,9486639,3841595,NA,"Georgia",50,NA,NA,0.399808015358771,0.224563822949787
"64","GA",1996,63496,719400,31229,35651,4785987,NA,4963496,962092,10292371,4244096,NA,"Georgia",50,NA,NA,0,0.0963126577188249
"65","GA",2004,117376,494701,53227,65118,6468785,NA,7325187,1547448,14570573,6830486,NA,"Georgia",50,NA,NA,0,-0.370148776749216
"66","GA",2005,114682,712310,53280,67019,6967153,NA,8038535,1657032,15665563,7326225,NA,"Georgia",50,NA,NA,0,0.360575007187176
"67","GA",2006,76731,890732,61068,75676,7449390,NA,8931098,1737475,17023264,8040366,NA,"Georgia",80,NA,NA,0.461538461538462,0.222604273624771
"68","GA",2007,73035,1017187,29908,78958,7854746,NA,9816602,1939225,18253216,8799415,NA,"Georgia",90,NA,NA,0.117647058823529,0.13255803836536
"69","GA",2008,70090,943042,32423,81928,7688845,NA,9788518,1892192,18070032,8845476,NA,"Georgia",100,NA,NA,0.105263157894737,-0.0756493246452328
"70","GA",2009,72851,694717,30241,82764,7001141,NA,8495902,1694650,16077948,7801185,NA,"Georgia",100,NA,NA,0,-0.303249745536431
"71","ID",1993,28034,71029,326,109,696969,2104,585810,208256,1446651,514781,NA,"Idaho",33.34,NA,NA,0,NA
"72","ID",1994,33895,90061,613,0,761229,2560,653985,221464,1608853,563924,NA,"Idaho",33.34,NA,NA,0,0.236290272518468
"73","ID",1995,32211,129470,705,111,814170,2538,729194,238418,1733120,599724,NA,"Idaho",50,NA,NA,0.399808015358771,0.359029020958316
"74","ID",1996,35034,152735,803,0,851793,2978,807785,251681,1857006,655050,NA,"Idaho",50,NA,NA,0,0.164880140323524
"75","ID",2020,89660,245969,4182,NA,2714828,5781,2159428,615285,5315760,1913459,NA,"Idaho",50,NA,NA,0,0.467685300373209
"76","ID",2021,94829,351479,5381,NA,3180226,5870,2809422,663229,6472467,2457943,NA,"Idaho",50,NA,NA,0,0.353202287060966
"77","ID",2022,97555,1040953,6128,NA,3594947,5828,3635505,690814,7710289,2594552,NA,"Idaho",100,NA,NA,0.666666666666667,0.990316223700691
"78","ID",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Idaho",100,NA,NA,0,NA
"79","IL",1985,49659,706009,55896,196267,4950229,0,3306873,1769776,9227777,2600864,NA,"Illinois",33.34,NA,NA,0,NA
"80","IL",1986,57598,859707,60666,209695,5288629,0,3505071,1922403,9800757,2645364,NA,"Illinois",33.34,NA,NA,0,0.196329347084656
"81","IL",1987,58541,862435,74401,222432,5388013,0,3957612,1982704,10429524,3095177,NA,"Illinois",50,NA,NA,0.399808015358771,0.00316814757435798
"82","IL",1988,66053,973704,75261,231191,5802525,0,4134814,2125171,11078693,3161110,NA,"Illinois",50,NA,NA,0,0.121198885269579
"83","IL",1997,237460,1803931,124104,204263,8769647,0,8090701,3473704,18519177,6286770,NA,"Illinois",50,NA,NA,0,0.597794166620164
"84","IL",1998,240397,1961566,122772,206134,9111575,0,8948561,3515529,19771284,6986995,NA,"Illinois",50,NA,NA,0,0.0837259995161329
"85","IL",1999,257495,2103927,121347,210240,9995035,0,9351399,4046062,21211263,7247472,NA,"Illinois",66.67,NA,NA,0.285763263906746,0.0700338187767142
"86","IL",2000,300591,2261293,143924,54452,10859328,240,9898408,4466248,22788799,7637115,NA,"Illinois",83.33,NA,NA,0.222133333333333,0.0720999170717627
"87","IL",2001,282824,2216842,151605,58711,10955170,294,9885559,4635424,23150229,7668717,NA,"Illinois",100,NA,NA,0.181857851960945,-0.0198524609016923
"88","IL",2002,298661,1383823,165304,56823,11255647,259,8855208,4664310,22474774,7471385,NA,"Illinois",100,NA,NA,0,-0.462702861832467
"89","IN",1994,38445,798600,4146,3020,3353438,696,3814329,847564,7475528,3015729,NA,"Indiana",33.34,NA,NA,0,NA
"90","IN",1995,40297,874305,4330,3174,3575884,640,4131604,866068,8045753,3257299,NA,"Indiana",33.34,NA,NA,0,0.0905072314327472
"91","IN",1996,47215,894403,4348,2876,3761281,574,4372373,893637,8437031,3477970,NA,"Indiana",50,NA,NA,0.399808015358771,0.0227261933569589
"92","IN",1997,44913,904265,4726,4203,4131854,611,4655091,1088980,9100842,3750826,NA,"Indiana",50,NA,NA,0,0.0109658925382561
"93","IN",2005,39955,824802,5418,8874,7195173,695,5038282,2194124,12853976,4213480,NA,"Indiana",50,NA,NA,0,-0.0919143098561247
