Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1995,0.333333333,0.333333333,0.5,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.5,0.5,0.333333333,1,0.333333333,0.5,0.333333333,0.5,0.5,0.5,0.5,0.7,0.333333333,0.333333333,0.333333333,1,,0.5,0.333333333,0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.6,0.333333333,0.5,,0.333333333,,0.333333333,0.333333333,0.333333333,,0.5,0.5,
1996,0.333333333,0.333333333,0.5,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.5,0.5,0.333333333,1,0.333333333,0.5,0.333333333,0.5,0.5,0.5,0.5,0.7,0.333333333,0.333333333,0.333333333,1,,0.5,0.333333333,0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.6,0.333333333,0.5,,0.333333333,,0.333333333,0.333333333,0.333333333,,0.5,0.5,
1997,0.333333333,0.333333333,0.5,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.5,0.5,0.333333333,1,0.333333333,0.5,0.333333333,0.5,0.5,0.5,0.8,0.7,0.333333333,0.333333333,0.333333333,1,,0.5,0.5,0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.6,0.333333333,0.5,,0.5,,0.333333333,0.333333333,0.333333333,,0.5,0.5,
1998,0.333333333,0.333333333,0.5,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.5,0.5,0.333333333,1,0.333333333,0.5,0.333333333,0.5,0.5,0.5,0.8,0.7,0.333333333,0.333333333,0.333333333,1,,0.5,0.5,0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.6,0.333333333,0.5,,0.5,,0.333333333,0.333333333,0.333333333,,0.5,0.5,
1999,0.333333333,0.333333333,0.5,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.5,0.666666667,0.333333333,1,0.333333333,0.5,0.333333333,0.5,0.5,0.5,0.9,0.7,0.333333333,1,0.333333333,1,,0.5,0.5,0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.6,0.333333333,0.5,,0.5,,0.333333333,0.333333333,0.333333333,,0.5,0.5,
2000,0.333333333,0.333333333,0.5,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.5,0.83333,0.5,1,0.333333333,0.5,0.333333333,0.5,0.5,0.5,0.9,0.7,0.333333333,1,0.333333333,1,,0.5,0.5,0.333333333,0.5,0.5,0.333333333,0.6,0.333333333,0.5,0.6,0.333333333,0.5,,0.5,,0.333333333,0.333333333,0.5,,0.5,0.5,
2001,0.333333333,0.333333333,0.5,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.5,1,0.5,1,0.333333333,0.5,0.333333333,0.5,0.5,0.5,0.9,0.75,0.333333333,1,0.333333333,1,,0.5,0.5,0.333333333,0.5,0.5,0.333333333,0.6,0.333333333,0.5,0.6,0.333333333,0.5,,0.5,,0.333333333,0.333333333,0.5,,0.5,0.5,
2002,0.333333333,0.333333333,0.5,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.5,1,0.5,1,0.333333333,0.5,0.333333333,0.5,0.5,0.5,0.9,0.75,0.333333333,1,0.333333333,1,,0.5,0.5,0.333333333,0.5,0.5,0.333333333,0.6,0.333333333,0.5,0.6,0.333333333,0.5,,0.5,,0.333333333,0.333333333,0.5,,0.5,0.5,
2003,0.333333333,0.333333333,0.5,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.5,1,0.5,1,0.333333333,0.5,0.333333333,0.5,0.5,0.5,0.9,0.75,0.333333333,1,0.333333333,1,,0.5,0.5,0.333333333,0.5,0.5,0.333333333,0.6,0.333333333,0.5,0.6,0.333333333,0.5,,0.5,,0.333333333,0.333333333,0.5,,0.5,0.5,
2004,0.333333333,0.333333333,0.5,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.5,1,0.5,1,0.333333333,0.5,0.333333333,0.5,0.5,0.5,0.9,0.75,1,1,0.333333333,1,,0.5,0.5,0.333333333,0.5,0.5,0.333333333,0.6,0.333333333,0.8,0.6,0.333333333,0.5,,0.5,,0.333333333,0.333333333,0.5,,0.5,0.5,
