"Abbreviation","State","EffectiveYear","Year","Revenue","GDPDEF","RealRev","population","RealRevPerCapita"
"AL","Alabama",2021,2014,406408,103.6485,392102.152949633,4843.737,80.9503391595442
"AL","Alabama",2021,1959,7567,16.4025,46133.2114007011,3204,14.3986302748755
"AL","Alabama",2021,1972,32908,23.74125,138611.067235297,3539.4,39.162306389585
"AL","Alabama",2021,1989,215817,61.33125,351887.496178539,4030.222,87.3121868171379
"AL","Alabama",2021,2006,558768,90.201,619469.850666844,4628.981,133.824237054947
"AL","Alabama",2021,1951,903,14.013,6444.01627060587,3059,2.10657609369267
"AL","Alabama",2021,1968,31442,19.613,160312.037934023,3446,46.5211949895598
"AL","Alabama",2021,1985,199998,54.5315,366756.828621989,3972.523,92.3233996686713
"AL","Alabama",2021,1981,99095,46.244,214287.258887639,3918.531,54.6856102165937
"AL","Alabama",2021,1994,218131,70.3425,310098.446884885,4232.965,73.2579756470665
"AL","Alabama",2021,1960,9447,16.62725,56816.3707167451,3274,17.3538090154994
"AL","Alabama",2021,2011,301178,98.161,306820.427664755,4799.642,63.9256902212196
"AL","Alabama",2021,1973,40939,25.0445,163465.032242608,3579.78,45.6634296640039
"AL","Alabama",2021,1990,179833,63.6315,282616.314246875,4048.508,69.8075227335292
"AL","Alabama",2021,2007,505886,92.638,546089.07791619,4672.84,116.86449309546
"AL","Alabama",2021,1952,1093,14.255,7667.48509294984,3068,2.49918027801494
"AL","Alabama",2021,2016,473736,105.73675,448033.441542321,4866.824,92.0586899263916
"AL","Alabama",2021,1965,19294,17.78375,108492.303366838,3443,31.5109797754394
"AL","Alabama",2021,1982,123218,49.1005,250950.601317706,3925.266,63.932126209461
"AL","Alabama",2021,1995,236279,71.81975,328988.892331148,4262.731,77.1779622807885
"AL","Alabama",2021,1961,9667,16.803,57531.3932035946,3316,17.3496360686353
"AL","Alabama",2021,2012,413253,99.9985,413259.198887983,4816.632,85.7983750653949
"AL","Alabama",2021,1974,47255,27.30475,173065.126031185,3626.499,47.7223697100661
"AL","Alabama",2021,1991,168253,65.7795,255783.336753852,4091.025,62.5230441646903
"AL","Alabama",2021,1987,162699,57.00375,285418.064601013,4015.264,71.0832624208553
"AL","Alabama",2021,1970,30797,21.66325,142162.417919749,3444.354,41.2740438177229
"AL","Alabama",2021,2017,520113,107.743,482734.841242587,4877.989,98.9618552322662
"AL","Alabama",2021,1966,22890,18.28275,125199.98359109,3464,36.1431823299913
"AL","Alabama",2021,1983,133717,51.012,262128.518779895,3934.102,66.6298227091964
"AL","Alabama",2021,1996,217616,73.133,297561.976125689,4290.403,69.3552508064368
"AL","Alabama",2021,1962,9645,17.00825,56707.7741684183,3323,17.0652344774054
"AL","Alabama",2021,1958,8936,16.1795,55230.3841280633,3163,17.4613923895236
"AL","Alabama",2021,1992,164779,67.27675,244927.110777497,4139.269,59.1715857987236
"AL","Alabama",2021,2009,493972,95.02275,519846.036870118,4757.938,109.258682410346
"AL","Alabama",2021,2001,201533,79.782,252604.597528265,4467.634,56.5410231742943
"AL","Alabama",2021,1971,33764,22.75975,148349.608409583,3497.076,42.4210421533827
"AL","Alabama",2021,2018,577516,110.33475,523421.678120447,4891.628,107.003573885922
"AL","Alabama",2021,2015,533586,104.6895,509684.352298941,4854.803,104.985588972187
"AL","Alabama",2021,1993,189506,68.87275,275153.81627712,4193.114,65.6203996068602
"AL","Alabama",2021,1997,226616,74.39475,304612.892710843,4320.281,70.5076574210897
"AL","Alabama",2021,2004,292051,84.8365,344251.589822777,4530.729,75.9815009511222
"AL","Alabama",2021,1956,1131,15.3125,7386.12244897959,3071,2.40511965124702
"AL","Alabama",2021,2019,684296,112.31475,609266.369733272,4907.965,124.138287402879
"AL","Alabama",2021,2010,428245,96.1615,445339.350987661,4785.514,93.0598784138258
"AL","Alabama",2021,1955,1098,14.807,7415.41162963463,3050,2.43128250151955
"AL","Alabama",2021,2003,242411,82.61875,293409.183750662,4503.491,65.1514977493376
"AL","Alabama",2021,2005,397308,87.4985,454074.069841197,4569.805,99.3639925207305
"AL","Alabama",2021,1977,75874,33.4185,227041.907925251,3780.403,60.0575938399295
