,State,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,HI,0,0,0,0,0,0.004206649,0.003917499,0.004208614,0.004509041,0.005621706,0.004787596,0.004600987,0.005585071,0.004054213,0.004161295,0.003922766,0.004883215,0.004726868,0.0044471,0.00432359,0.003900005,0.003760627,0.003064424,0.002375855,0.003020358,0.004743229,0.004861195,0.00300911,0.002700149,0.003288058,0.003772821,0.003729276,0.00308548,0.001674662,0.002383927,0.002763114,0.002372108,0.003750182,0.003612325,0.003691464,0.004356098,0.005716989,0.003101335,0.002195756,0.00266342,0.001626689,0.002235902,0.002199697,0.001986418,0.001703655,0.002314463,0.001909241,0.00209528,0.00107816,0.001922622,0.003208112,0.003119585,0.001905814,0.002111774,0.002001066,0.002101057,0.00165249,0.001923861,0.002755577,0.002711134,0.001486238,0.002373438,0.004142837,0.003030935,0.003190817,0.000834452,0.002143253
12,IA,0.004527274,0.004307918,0.003442501,0.00285448,0.002926664,0.003086407,0.003571541,0.003901431,0.00315711,0.002675726,0.003226479,0.003600395,0.003430731,0.003098795,0.002960048,0.003051847,0.003824613,0.005377626,0.007579453,0.007580749,0.006493677,0.008282667,0.008403614,0.008716692,0.009878763,0.009577092,0.010701807,0.010016995,0.010146954,0.01072552,0.010401663,0.009606394,0.010506932,0.010529022,0.008515878,0.008757887,0.007529504,0.007305806,0.007314156,0.008492769,0.009174608,0.009919453,0.008824123,0.006904064,0.006783587,0.007589849,0.006922199,0.007195846,0.006331608,0.007623443,0.00659876,0.005262176,0.003515087,0.004933366,0.002971514,0.004819444,0.006003396,0.006143328,0.006964397,0.006730688,0.005055451,0.006094577,0.010206512,0.009549604,0.008360625,0.009529295,0.00826915,0.009682906,0.009148416,0.008971791,0.011853879,0.008885803
13,ID,0.005628364,0.005092102,0.004851014,0.004343451,0.003769149,0.003618826,0.004080961,0.0041783,0.003721717,0.004699659,0.004896926,0.004338006,0.003943888,0.003594443,0.003581912,0.00423018,0.004168155,0.004302011,0.003180812,0.00315495,0.002976235,0.003669211,0.002919944,0.002953736,0.003836716,0.004239924,0.004365918,0.003382891,0.003103472,0.003236192,0.003198179,0.003597059,0.002937927,0.002365633,0.001635831,0.002420823,0.002317289,0.002310284,0.002839396,0.003001014,0.003341989,0.002933261,0.003119778,0.002935651,0.003505389,0.004452964,0.00521001,0.004501518,0.003785758,0.003125111,0.003869994,0.004480826,0.003055709,0.003293702,0.003433255,0.003633535,0.004177493,0.003557165,0.003814526,0.003621406,0.002587137,0.004145019,0.004520771,0.00446424,0.004086801,0.004465606,0.004146939,0.004855595,0.004970861,0.004773412,0.004699037,0.003935247
14,IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377095,0.04526538,0.039383691,0.042227328,0.044383274,0.046194426,0.042918191,0.041902987,0.035023993,0.040336181,0.059898444,0.059038935,0.051007773,0.045915215,0.036357892,0.040043176,0.046707991,0.042116972,0.045063419,0.044961037,0.043177043,0.046213347,0.044415382,0.045351964,0.047846273,0.050953019,0.055304048,0.058725801,0.063095939,0.068385641,0.069531143,0.069959601,0.055081617,0.045559696,0.042295029,0.056423131,0.050564857,0.055491538,0.037304115,0.043536311,0.070690906,0.068317986,0.083769524,0.099442128,0.095497468,0.083400558,0.060182621,0.06449366,0.068520588,0.064029121,0.066705854,0.064148928
15,IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000987076,0.004870409,0.006992568,0.006495008,0.004950357,0.002779765,0.002299927,0.002797981,0.002383693,0.001858804,0.002560471,0.011657006,0.011754511,0.009396097,0.017886264,0.010461822,0.013451434,0.010950121,0.008987831,0.010641929,0.008377012,0.010115367,0.00997311,0.011510838,0.012084972,0.011817094,0.015676343,0.01524763,0.030757985,0.027122111,0.031083415,0.03007066,0.030509368,0.029437759,0.029857158,0.032166647,0.028430678,0.026036073,0.028237397,0.025688833,0.021330054,0.021317684,0.021990563,0.018654493,0.01824079,0.021360136,0.015717133,0.016596661,0.01904559,0.017416306,0.01864308,0.018587431,0.02269602,0.022984585,0.014423317,0.012602727,0.014459308,0.015508576
16,KS,0.005899796,0.005301605,0.004523952,0.004060719,0.004601265,0.005103923,0.004949775,0.004653221,0.005668537,0.007053463,0.007147918,0.006820928,0.006849226,0.007264629,0.006351388,0.005980313,0.011158269,0.010747618,0.007829294,0.006329399,0.00515203,0.007334333,0.007507748,0.009920933,0.01276345,0.0129307,0.012766653,0.013376341,0.011967727,0.011635928,0.011223878,0.010635347,0.008752432,0.010746776,0.008810629,0.009056108,0.008494189,0.006693367,0.009048746,0.008309241,0.009675916,0.010460843,0.009106945,0.009054398,0.009921004,0.008990811,0.008694083,0.00947592,0.009840062,0.008250767,0.008376848,0.007470558,0.004853335,0.00438687,0.005511555,0.00641196,0.008031724,0.009967353,0.010589776,0.009442771,0.009272694,0.00600316,0.007612838,0.008569116,0.007101947,0.009427839,0.008598542,0.008673106,0.009040663,0.008148089,0.008289898,0.008144544
17,KY,0.014177605,0.01367593,0.012954738,0.012056225,0.01081362,0.014311795,0.013272919,0.017652937,0.017176555,0.016582941,0.017153647,0.017857453,0.016036335,0.014424281,0.013720533,0.015144666,0.01779208,0.018166442,0.014448307,0.012382991,0.010556338,0.011709756,0.012206743,0.012781212,0.013860462,0.017558603,0.018533015,0.01430747,0.012906796,0.013470845,0.011924184,0.01094397,0.011913903,0.013086482,0.01278165,0.011983533,0.012687389,0.013057392,0.011836677,0.013023056,0.012849132,0.015687629,0.01240328,0.010529932,0.010472729,0.011725255,0.009712651,0.009530384,0.010732736,0.010143366,0.009422847,0.011404827,0.012025927,0.013020217,0.012621573,0.012367354,0.021100427,0.018672522,0.01070247,0.009920016,0.010098772,0.012578271,0.013787574,0.01441452,0.014507217,0.015467584,0.013315248,0.010279766,0.015471432,0.012776068,0.012211395,0.010368568
18,LA,0,0,0,0,0,0,0,0,0.01680243,0.018086235,0.015535746,0.013682132,0.017831236,0.011637757,0.013065039,0.014181471,0.015589971,0.015469994,0.013626094,0.010875017,0.009301905,0.014982635,0.018008586,0.014521859,0.01123997,0.011851372,0.012064438,0.010382601,0.017410211,0.017652655,0.018717199,0.01885043,0.02085124,0.024434284,0.016897274,0.01665219,0.014333103,0.009336706,0.010176784,0.014438524,0.018112999,0.016046624,0.01062004,0.010137211,0.008531397,0.009736056,0.011172961,0.012375699,0.011564037,0.009306588,0.006826391,0.009248328,0.01052492,0.00700087,0.007831708,0.009101244,0.010663224,0.014225957,0.014103282,0.015595292,0.010341391,0.004790781,0.006961075,0.005624977,0.01035051,0.005217849,0.003764776,0.006529405,0.00739425,0.008298296,0.008605461,0.006580563
19,MA,0.033203422,0.0382766,0.034752072,0.030437493,0.033784949,0.030193819,0.027679999,0.030767847,0.028932688,0.029368398,0.024187151,0.027447976,0.025273919,0.023840261,0.024673949,0.025485797,0.024455337,0.025181518,0.066356159,0.058201785,0.058395471,0.059308443,0.054264672,0.047815905,0.047158226,0.040427124,0.044704461,0.043301207,0.037694714,0.039849931,0.0399647,0.037902154,0.042729284,0.050230287,0.047038632,0.048282777,0.0586792,0.05436131,0.049443258,0.049834119,0.040052882,0.035347726,0.034633327,0.039649496,0.041371768,0.041467454,0.041884099,0.039500342,0.043581825,0.040619133,0.040168265,0.038235442,0.032331034,0.041734436,0.043040604,0.034447205,0.039164586,0.039816307,0.043721145,0.045561717,0.048278007,0.047037254,0.047985774,0.042080906,0.047204636,0.045819582,0.051210122,0.049229782,0.049726297,0.049359928,0.048379649,0.041123772
20,MD,0.017861563,0.017870367,0.017459592,0.020129513,0.018095284,0.019781925,0.026393573,0.019660744,0.019874556,0.018071331,0.017273146,0.016187957,0.015159151,0.014978397,0.014059195,0.014413197,0.016062588,0.01601656,0.014582165,0.017217939,0.016080765,0.020520477,0.017537102,0.014753012,0.0149746,0.013851643,0.015022488,0.012568062,0.011808391,0.012003357,0.012450483,0.011053702,0.010631345,0.011284772,0.01278829,0.01395952,0.013600515,0.013209317,0.014489008,0.013872647,0.013449975,0.012550457,0.009928317,0.010762456,0.012457809,0.012579837,0.011275637,0.011182387,0.012181755,0.01316297,0.013255912,0.01582219,0.014306334,0.013353075,0.018846118,0.020858972,0.017840287,0.014778858,0.01474764,0.019069439,0.023453916,0.018893232,0.0211035,0.021215767,0.021138949,0.020644866,0.024772628,0.022456443,0.021327147,0.021794025,0.025321757,0.020608994
