"State","Year","Revenue"
"AR","2020",0.008960417
"AR","2021",0.006924399
"AZ","...1",4
"AZ","1950",0.004945517
"AZ","1951",0.007824378
"AZ","1952",0.007468699
"AZ","1953",0.004252088
"AZ","1954",0.006522131
"AZ","1955",0.007074143
"AZ","1956",0.009536797
"AZ","1957",0
"AZ","1958",0.004229668
"AZ","1959",0.005303759
"AZ","1960",0.005791051
"AZ","1961",0.004796841
"AZ","1962",0.004262794
"AZ","1963",0.004650851
"AZ","1964",0.005412693
"AZ","1965",0.004808719
"AZ","1966",0.006566084
"AZ","1967",0.006470307
"AZ","1968",0.005848039
"AZ","1969",0.005685955
"AZ","1970",0.005593984
"AZ","1971",0.007881954
"AZ","1972",0.006369346
"AZ","1973",0.006895491
"AZ","1974",0.0065435
"AZ","1975",0.007460442
"AZ","1976",0.006393639
"AZ","1977",0.005645201
"AZ","1978",0.005945264
"AZ","1979",0.007367703
"AZ","1980",0.008840258
"AZ","1981",0.008944747
"AZ","1982",0.008196071
"AZ","1983",0.012197602
"AZ","1984",0.012723757
"AZ","1985",0.011474039
"AZ","1986",0.009280727
"AZ","1987",0.009715616
"AZ","1988",0.006855702
"AZ","1989",0.008381395
"AZ","1990",0.008267713
"AZ","1991",0.009447671
"AZ","1992",0.00964815
"AZ","1993",0.010119976
"AZ","1994",0.011802784
"AZ","1995",0.014358752
"AZ","1996",0.015283287
"AZ","1997",0.019561583
"AZ","1998",0.016985666
"AZ","1999",0.017727187
"AZ","2000",0.01608701
"AZ","2001",0.017078492
"AZ","2002",0.013783311
"AZ","2003",0.013718979
"AZ","2004",0.01738891
"AZ","2005",0.018140121
"AZ","2006",0.018749109
"AZ","2007",0.01863671
"AZ","2008",0.015734134
"AZ","2009",0.015076981
"AZ","2010",0.010871753
"AZ","2011",0.013642762
"AZ","2012",0.015528987
"AZ","2013",0.014752135
"AZ","2014",0.012371692
"AZ","2015",0.014213778
"AZ","2016",0.012518931
"AZ","2017",0.008251067
"AZ","2018",0.007701161
"AZ","2019",0.00861449
"AZ","2020",0.009992673
"AZ","2021",0.010143277
"CA","...1",5
"CA","1950",0.127258729
"CA","1951",0.143201535
"CA","1952",0.142505697
"CA","1953",0.147053849
"CA","1954",0.163106411
"CA","1955",0.180281858
"CA","1956",0.176158679
"CA","1957",0.169091293
"CA","1958",0.16813077
"CA","1959",0.174279849
"CA","1960",0.203457172
"CA","1961",0.21588233
"CA","1962",0.222391065
"CA","1963",0.206813363
"CA","1964",0.238808075
"CA","1965",0.215887954
"CA","1966",0.212910632
"CA","1967",0.20325487
"CA","1968",0.229906625
"CA","1969",0.186332323
"CA","1970",0.157192564
"CA","1971",0.155705911
"CA","1972",0.149704541
"CA","1973",0.159695476
"CA","1974",0.173917677
"CA","1975",0.188589904
"CA","1976",0.176560085
"CA","1977",0.178943665
"CA","1978",0.193351906
"CA","1979",0.195811775
"CA","1980",0.188208145
"CA","1981",0.193100122
"CA","1982",0.188830235
"CA","1983",0.194179617
"CA","1984",0.207515799
"CA","1985",0.207478461
"CA","1986",0.208261559
"CA","1987",0.232403094
"CA","1988",0.221307037
"CA","1989",0.212139843
"CA","1990",0.226580389
"CA","1991",0.218131738
"CA","1992",0.206780889
"CA","1993",0.195404738
"CA","1994",0.180344874
"CA","1995",0.197693044
"CA","1996",0.198906224
"CA","1997",0.188934119
"CA","1998",0.179733616
"CA","1999",0.177444762
"CA","2000",0.204131312
"CA","2001",0.217729733
"CA","2002",0.212275879
"CA","2003",0.239692974
"CA","2004",0.229114675
"CA","2005",0.224084939
"CA","2006",0.217329998
"CA","2007",0.210862743
"CA","2008",0.237645203
"CA","2009",0.242776779
"CA","2010",0.239819076
"CA","2011",0.234108434
"CA","2012",0.190549868
"CA","2013",0.166278105
"CA","2014",0.190539671
"CA","2015",0.185287255
"CA","2016",0.217273166
"CA","2017",0.226652878
