"","year","average_Log_CORPINCTX_c","std_err_c","average_Log_CORPINCTX_t","std_err_t"
"1",1976,10.6865533142649,0.255357152445626,11.5452327140766,0.256359993803703
"2",1977,10.8340137150959,0.261025654804957,11.7417942982511,0.260805059291043
"3",1978,10.9587174711463,0.265753505723324,11.865640721605,0.250355208377636
"4",1979,11.2775616499174,0.274673100666543,11.9972869803201,0.239869636904024
"5",1980,11.4307160355358,0.29646397202182,12.0915731687241,0.244574825350374
"6",1981,11.5259663502701,0.312418883759631,12.0705207118412,0.257431364604398
"7",1982,11.52100884215,0.305148831022484,12.058578042851,0.260704488897487
"8",1983,11.3738917056647,0.296776799087795,12.0127338424333,0.26927203312241
"9",1984,11.500775115827,0.301469516540673,12.2329219127155,0.253174658559987
"10",1985,11.6666059437451,0.259868214181964,12.4183268927059,0.249688745089355
"11",1986,11.6396070318789,0.276467776639686,12.4250078554091,0.26019033074034
"12",1987,11.7086356525261,0.275847040795266,12.5121567910171,0.267294423689836
"13",1988,11.8046666446956,0.271817042125627,12.5709779219892,0.261802941321424
"14",1989,12.0080675898347,0.282222725655802,12.665652728887,0.261813456157175
"15",1990,11.8719127181634,0.263680179735466,12.5415931379199,0.265870619025274
"16",1991,11.8507445616491,0.25794456850504,12.5059160949929,0.259475205993402
"17",1992,11.8245950503097,0.257657234983385,12.5497259480226,0.269248817663267
"18",1993,12.0267689964527,0.297576623734863,12.6768029676183,0.260170459671151
"19",1994,12.0247348113505,0.268420518875066,12.820099000634,0.250469615535274
"20",1995,12.1999888401725,0.278196795861079,12.9260173350709,0.2575615444697
"21",1996,12.2098168179501,0.263460048948386,12.9400968458299,0.255943711648742
"22",1997,12.2847054378231,0.268965416151618,13.0063056787361,0.252985178422508
"23",1998,12.2720157334273,0.27879692251584,13.0145377544771,0.252048470398075
"24",1999,12.2150339436902,0.27665835739458,13.0514787794647,0.246043525045683
"25",2000,12.3273337435473,0.270489546754855,13.0713874901643,0.250898828241119
"26",2001,12.3178447574046,0.282825146632859,12.975914334717,0.263505559861278
"27",2002,12.0950128393506,0.288308743949106,12.6773576580068,0.27379789987366
"28",2003,11.9669875392758,0.322048566745156,12.8488461968187,0.266883940796936
"29",2004,12.2268725626412,0.29055150774112,12.9405355856486,0.255598053664636
"30",2005,12.6055494946649,0.271672870772527,13.2330039414297,0.253549311275238
"31",2006,12.9306649488852,0.268031896640431,13.4739516928372,0.240984809783493
"32",2007,13.0039982660157,0.282900437525939,13.5424017738325,0.25366498171257
"33",2008,12.9935562560157,0.289341728821412,13.4455894689682,0.244327438780232
"34",2009,12.7254463369551,0.279213788384362,13.2039641842294,0.25352620451934
"35",2010,12.5411706159244,0.302559393636446,13.1883561736647,0.267055623549119
"36",2011,12.677708947137,0.281665796606078,13.3467068690839,0.243091246722852
"37",2012,12.7389890786724,0.280872349416052,13.4196850085734,0.232398517178615
"38",2013,12.8468031599961,0.257031616908351,13.50533700324,0.233741475479788
"39",2014,12.7398662092538,0.264018810604338,13.5434820656319,0.237519126570715
"40",2015,12.7421963505056,0.284090770660885,13.6030121617262,0.23269047038893
"41",2016,12.5073776992891,0.322924705778334,13.4945002638862,0.243356791626616
"42",2017,12.5201414504793,0.313280570003529,13.381742464216,0.258746657166214
"43",2018,12.6921788942529,0.301693382625947,13.4597974994089,0.247955829210931
"44",2019,12.9636059791351,0.28076118440493,13.7144925044915,0.248693695939748
