State,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ID,1503,0,1846,0,1456,0,3061,0,3297,3500,4064,3518,2908,2678,3645,4135,3810,4730,5778,5493,5157,5410,6071,8160,8493,9579,8008,10032,11125,12563,12894,16024,23076,28162,31752,31034,33326,39247,42604,50875,41136,31114,25374,42682,42652,47308,61352,71621,72692,59712,68171,71029,90061,129470,152735,138277,117694,96146,125860,141986,76769,93490,103784,140585,198302,188229,190194,142240,98327,170214,188589,200340,190002,217082,188996,216641,240809,284961,245969,351479
IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140956,154984,173912,229083,266944,306828,312131,384410,376098,489178,797927,835017,714196,603900,563961,706009,859707,862435,973704,1073022,939149,940759,970531,1097305,1229274,1481460,1621276,1803931,1961566,2103927,2261293,2216842,1383823,1293188,1278538,2183066,2400270,2936360,1860000,1710000,2686686,2805458,3494539,4462627,4439832,4054267,2742812,2877499,3319420,3822382,3491688,5729501
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1673,9395,14248,14462,12463,8839,8597,9580,10526,10084,15400,77427,85487,86198,192068,126876,179191,154873,125845,139968,129939,178346,183565,235709,261125,282022,340978,310394,672100,656228,798600,874305,894403,904265,928218,989627,924623,825017,709412,729164,644787,824802,1043873,987111,909494,838974,597347,681537,794508,781585,866747,903572,1034367,1025498,698725,752352,756866,1385158
KS,1267,0,2125,0,1695,0,3142,0,3456,3644,3790,3289,3550,3777,4421,4605,5803,7099,8434,8637,8956,10934,10765,11536,22736,23931,19711,20126,19258,25112,33153,53821,76766,85887,92848,122712,128513,141115,149517,150421,122549,141347,136665,159670,156344,137061,195520,198305,210462,212950,198998,219074,254892,261408,254873,291080,305914,253840,272432,236723,121931,124519,166609,248085,381259,527427,528011,370889,352419,246518,317578,384553,330181,458306,391877,386966,437967,486421,433931,727435
KY,3406,0,3352,0,3861,0,7638,0,8305,9400,10853,9765,8343,10591,11855,17470,17584,16690,20240,22612,20969,21710,23255,29214,36253,40450,36375,39375,39459,40093,53903,69338,83364,116626,134785,131254,138597,163368,158846,154786,166815,172120,198261,211284,233524,267378,255760,310803,279483,319351,271027,254775,269067,340912,284733,292753,333666,312067,306450,361390,302129,369572,381538,478505,1001619,988065,533630,389634,383815,516523,575164,646875,674464,751910,606840,458650,749500,762700,639200,926075
LA,3971,0,4950,0,5112,0,8496,0,0,0,0,0,0,0,0,0,17201,18203,18331,17325,23316,17516,22144,27356,31766,34446,34305,34580,34770,51299,79523,78781,67603,78718,87741,95248,186956,214083,249338,266611,291953,321372,262100,293598,263815,191189,219894,344584,393978,326659,232061,245273,219190,283076,327543,380155,359510,286323,222008,293056,264419,198716,236745,352136,506174,752773,703196,612545,393036,196732,290389,252430,481212,253650,171579,291321,358208,495388,450449,587747
MA,691,0,1074,0,18416,0,28331,0,19450,26309,29114,24653,26066,22344,24723,30449,29619,29558,28539,34756,33048,35882,41820,49162,49830,56070,167058,185068,218279,203066,239624,259401,283634,268521,325122,397237,404777,483281,532383,536069,598283,660654,729634,851283,1080049,1113164,1068341,1189321,871195,719569,756781,959332,1062930,1205667,1227861,1213366,1354899,1249673,1306353,1211584,812257,1184610,1301076,1332796,1859109,2106898,2179956,1789553,1834859,1931571,2001780,1888449,2194620,2227381,2333892,2196474,2408947,2946667,2532411,3672995
MD,1666,0,3076,0,3105,0,3992,0,10463,12283,14627,16304,13961,14639,23574,19457,20346,18188,20381,20498,19822,22544,23829,27803,32729,35663,36712,54749,60109,70260,77441,80035,90065,92004,109254,115297,126802,145571,165857,156338,148857,148423,198364,246123,250331,270489,313070,331079,292552,255488,216946,260401,320068,365759,330553,343499,378714,404967,431109,501365,359420,379020,569700,807054,846863,782030,735324,749001,891392,775845,880356,952092,982784,1003588,1129008,1001934,1033175,1301050,1325456,1840705
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8257,8558,8588,10044,13202,20181,32642,35200,34307,41240,45086,39193,36090,33043,52004,53537,51870,68336,84704,96333,57658,76053,69921,74933,91955,63290,71062,97146,107125,147489,150046,96283,77366,91188,111616,135863,188016,183852,184515,143086,175292,208997,232118,171987,182928,168966,137492,175239,185737,252867,216131,284317
MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39986,216847,194602,164786,283527,364380,309122,222640,334484,789379,908680,991555,910732,943909,952280,1004269,1289915,1391863,1449598,1524371,1856105,1862126,1815601,1593109,1729549,1843420,2174644,2130395,2189742,2228753,2354764,2413615,2382496,2102093,2065241,1843072,1841010,1907190,1886168,1786213,1778317,703250,631895,728842,804037,900667,881011,1185568,1052320,1195399,971032,1142671,812842,1496498
