"State","Year","Revenue"
"AZ","2007",986170
"AZ","2008",784511
"AZ","2009",592187
"AZ","2010",413193
"AZ","2011",560236
"AZ","2012",647809
"AZ","2013",662026
"AZ","2014",575180
"AZ","2015",690960
"AZ","2016",570548
"AZ","2017",368136
"AZ","2018",373076
"AZ","2019",514264
"AZ","2020",523062
"AZ","2021",905953
"CA","1950",74546
"CA","1951",98428
"CA","1952",119386
"CA","1953",119107
"CA","1954",125841
"CA","1955",133412
"CA","1956",157340
"CA","1957",167339
"CA","1958",172119
"CA","1959",175405
"CA","1960",240064
"CA","1961",273361
"CA","1962",290797
"CA","1963",311275
"CA","1964",404757
"CA","1965",416447
"CA","1966",433825
"CA","1967",452574
"CA","1968",578812
"CA","1969",592493
"CA","1970",587577
"CA","1971",533121
"CA","1972",661071
"CA","1973",866347
"CA","1974",1046031
"CA","1975",1252633
"CA","1976",1284068
"CA","1977",1641595
"CA","1978",2076270
"CA","1979",2374712
"CA","1980",2507183
"CA","1981",2731111
"CA","1982",2643946
"CA","1983",2553948
"CA","1984",3218856
"CA","1985",3658093
"CA","1986",3833261
"CA","1987",4758950
"CA","1988",4781873
"CA","1989",5062844
"CA","1990",4928377
"CA","1991",4440479
"CA","1992",4518418
"CA","1993",4727879
"CA","1994",4633449
"CA","1995",5747929
"CA","1996",5831072
"CA","1997",5803652
"CA","1998",5587671
"CA","1999",5459199
"CA","2000",6638762
"CA","2001",6899302
"CA","2002",5333036
"CA","2003",6803559
"CA","2004",6925916
"CA","2005",8670065
"CA","2006",10316467
"CA","2007",11157898
"CA","2008",11849097
"CA","2009",9535679
"CA","2010",9114589
"CA","2011",9613594
"CA","2012",7949000
"CA","2013",7462000
"CA","2014",8858498
"CA","2015",9007182
"CA","2016",9902185
"CA","2017",10112520
"CA","2018",12488304
"CA","2019",13792519
"CA","2020",9817957
"CA","2021",26097277
"CO","1950",6003
"CO","1951",6535
"CO","1952",6121
"CO","1953",5515
"CO","1954",6153
"CO","1955",5677
"CO","1956",6071
"CO","1957",4399
"CO","1958",11025
"CO","1959",12226
"CO","1960",10723
"CO","1961",18555
"CO","1962",20268
"CO","1963",21036
"CO","1964",24735
"CO","1965",23929
"CO","1966",24759
"CO","1967",25799
"CO","1968",26719
"CO","1969",32000
"CO","1970",33513
"CO","1971",28837
"CO","1972",36463
"CO","1973",38993
"CO","1974",52745
"CO","1975",58115
"CO","1976",69597
"CO","1977",80575
"CO","1978",86202
"CO","1979",112292
"CO","1980",110607
"CO","1981",103465
"CO","1982",91400
"CO","1983",56184
"CO","1984",87721
"CO","1985",101654
"CO","1986",116937
"CO","1987",124085
"CO","1988",146776
"CO","1989",171176
"CO","1990",123357
"CO","1991",114514
"CO","1992",123458
"CO","1993",137748
"CO","1994",146042
"CO","1995",190026
"CO","1996",205700
"CO","1997",224275
"CO","1998",271143
"CO","1999",301043
"CO","2000",334980
"CO","2001",340039
"CO","2002",205217
"CO","2003",199853
"CO","2004",239591
"CO","2005",315834
"CO","2006",457673
"CO","2007",479445
"CO","2008",507986
"CO","2009",329545
"CO","2010",360003
"CO","2011",383513
"CO","2012",492224
"CO","2013",652180
"CO","2014",717506
"CO","2015",669054
"CO","2016",626109
"CO","2017",528543
"CO","2018",782679
"CO","2019",794659
"CO","2020",696612
"CO","2021",1278046
"CT","1950",12200
"CT","1951",18646
"CT","1952",22189
"CT","1953",19858
"CT","1954",25337
"CT","1955",23190
"CT","1956",28507
"CT","1957",29765
"CT","1958",30481
"CT","1959",27469
"CT","1960",30773
"CT","1961",30792
"CT","1962",38533
"CT","1963",47064
"CT","1964",51081
"CT","1965",57339
"CT","1966",67959
"CT","1967",80071
"CT","1968",79846
"CT","1969",86228
"CT","1970",119538
"CT","1971",126796
"CT","1972",122948
"CT","1973",138556
"CT","1974",139873
"CT","1975",140365
"CT","1976",143685
"CT","1977",201742
"CT","1978",199569
"CT","1979",231139
"CT","1980",246139
"CT","1981",248720
"CT","1982",349283
"CT","1983",357364
"CT","1984",401801
"CT","1985",489507
"CT","1986",616824
"CT","1987",630687
"CT","1988",601212
"CT","1989",799953
"CT","1990",679726
"CT","1991",515879
"CT","1992",593720
"CT","1993",713381
"CT","1994",701942
"CT","1995",698918
"CT","1996",641389
"CT","1997",567955
"CT","1998",534939
"CT","1999",474512
"CT","2000",426617
"CT","2001",387812
"CT","2002",149454
"CT","2003",344684
"CT","2004",379822
"CT","2005",574984
"CT","2006",634990
"CT","2007",894317
"CT","2008",604413
"CT","2009",444061
"CT","2010",507752
"CT","2011",681415
"CT","2012",625320
"CT","2013",568632
"CT","2014",627358
"CT","2015",650014
"CT","2016",765492
"CT","2017",897247
"CT","2018",770941
"CT","2019",2065833
"CT","2020",2062263
"CT","2021",2607064
"DE","1950",0
"DE","1951",0
"DE","1952",0
"DE","1953",0
"DE","1954",0
"DE","1955",0
"DE","1956",0
"DE","1957",0
"DE","1958",2348
"DE","1959",5163
"DE","1960",7478
"DE","1961",6741
"DE","1962",7295
"DE","1963",8890
"DE","1964",9997
"DE","1965",10185
"DE","1966",12991
"DE","1967",12723
"DE","1968",11578
"DE","1969",15079
"DE","1970",13446
"DE","1971",12383
"DE","1972",17518
"DE","1973",18585
"DE","1974",23467
"DE","1975",17545
"DE","1976",22861
"DE","1977",29036
"DE","1978",41900
"DE","1979",50091
"DE","1980",40553
"DE","1981",32914
"DE","1982",36138
"DE","1983",29790
"DE","1984",44857
"DE","1985",82480
"DE","1986",81065
"DE","1987",105097
"DE","1988",119323
"DE","1989",155400
"DE","1990",117802
"DE","1991",122457
"DE","1992",128737
"DE","1993",113748
"DE","1994",155070
"DE","1995",193649
"DE","1996",166021
"DE","1997",172562
