"Dependent.Variable","DiD.Estimate","Std..Error","t.value","p.value"
"Corporate Tax Revenue",0.0510053380697352,0.174809986884881,0.291775881794008,0.770534104526866
"Non-Corporate Tax Revenue",-0.0346910766146687,0.158741346723014,-0.21853837913572,0.827065745433781
"Proxy Corporate Income",-0.22051106314641,0.178465733851601,-1.23559328946458,0.216974767202498
